Yearday  wnde(m/s)  wndn  swr  lwr  precip(mm)  starting Dec 8, 2014
347.708  -2.37  -2.77   -0.1  371.9   2.95 
347.833  -2.56  -2.41   -0.1  372.1   2.94 
347.874  -2.58  -2.06   -0.2  374.0   2.94 
347.916  -2.36  -2.59    0.0  376.2   2.95 
347.958  -2.64  -1.58    0.0  377.3   2.95 
348.041  -2.94  -0.70   14.3  376.3   2.96 
348.083  -3.12  -0.57  127.5  377.2   2.95 
348.124  -2.82  -1.01  329.9  378.5   2.92 
348.166  -2.63  -1.81  547.3  378.4   2.90 
348.208  -2.47  -2.67  698.9  378.3   2.88 
348.291  -3.20  -1.38  783.0  378.0   2.86 
348.333  -2.92  -1.39  730.0  377.7   2.85 
348.374  -2.65  -1.51  605.9  377.5   2.83 
348.416  -2.24  -1.84  413.9  378.6   2.83 
348.458  -2.48  -2.51  204.6  378.9   2.83 
348.541  -2.76  -2.67    0.3  387.9   2.84 
348.583  -2.80  -3.24    0.4  386.0   2.85 
348.624  -3.30  -2.75    0.2  384.8   2.86 
348.666  -3.40  -2.22    0.2  385.1   2.86 
348.708  -2.90  -2.11    0.3  390.1   2.86 
348.749  -1.97  -2.15    0.0  384.4   2.87 
348.791  -1.64  -2.22    0.1  386.3   2.88 
348.833  -1.57  -2.34    0.0  383.5   2.88 
348.874  -1.41  -2.57    0.2  387.0   2.88 
348.916  -0.91  -3.63    0.5  391.5   2.88 
348.958  -1.03  -3.78    0.4  384.4   2.89 
348.999  -1.25  -4.16    0.4  385.0   2.88 
349.041  -1.43  -4.15   19.1  383.2   2.88 
349.124  -2.33  -4.58  373.4  382.4   2.83 
349.208  -2.85  -4.70  712.7  380.4   2.79 
349.249  -2.74  -4.37  792.9  380.7   2.78 
349.291  -3.05  -3.81  790.8  382.5   2.78 
349.333  -3.01  -3.37  633.5  383.5   2.77 
349.374  -2.95  -2.92  472.6  385.7   2.78 
349.416  -3.10  -3.13  378.4  384.2   2.78 
349.458  -2.73  -3.33  150.1  386.0   2.77 
349.499  -2.72  -3.00   13.6  384.1   2.79 
349.541  -3.01  -2.80    0.1  383.0   2.80 
349.583  -3.21  -2.69    0.0  379.9   2.81 
349.624  -3.15  -2.75    0.0  380.6   2.82 
349.708  -2.29  -2.49    0.0  382.0   2.82 
349.874  -1.88  -2.64    0.0  381.2   2.82 
349.958  -1.73  -2.18   -0.1  377.3   2.83 
350.083  -1.11  -2.70  172.5  377.6   2.81 
350.124  -1.29  -3.40  384.8  377.7   2.78 
350.166  -1.53  -3.95  579.1  378.5   2.75 
350.208  -1.87  -4.30  705.2  382.7   2.73 
350.249  -1.76  -4.03  759.2  384.5   2.72 
350.291  -1.24  -3.24  784.3  386.2   2.72 
350.333  -0.45  -3.58  694.1  390.6   2.71 
350.416  -1.00  -4.84  307.2  390.2   2.71 
350.458  -1.27  -4.53  127.8  388.6   2.72 
350.499  -1.44  -5.13   16.2  388.9   2.73 
350.541  -1.64  -5.11    0.5  383.3   2.74 
